"Abbrev","Full Title"
"Acc. Chem. Res.","Accounts of Chemical Research"
"Acc. Chem. Res.","Accounts of Chemical Research"
"Acta Chem. Scand.","Acta Chemica Scandinavica"
"Acta Crystallogr.","Acta Crystallographica"
"Acta Crystallogr. Sect. A","Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography"
"Acta Crystallogr. Sect. B","Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry"
"Acta Mathe. Acad. Sci. Hung.","Acta Mathematica Academiae Scientiarum Hungaricae"
"Acta Metall.","Acta Metallurgica"
"Acta Oto-Laryngol.","Acta Oto-Laryngologica"
"Acta Phys.","Acta Physica"
"Acta Phys. Austriaca","Acta Physica Austriaca"
"Acta Phys. Pol.","Acta Physica Polonica"
"Acustica","Acustica"
"Adv. Appl. Mech.","Advances in Applied Mechanics"
"Adv. At. Mol. Phys.","Advances in Atomic and Molecular Physics"
"Adv. Chem. Phys.","Advances in Chemical Physics"
"Adv. Magn. Reson.","Advances in Magnetic Resonance"
"Adv. Phys.","Advances in Physics"
"Adv. Quantum Chem.","Advances in Quantum Chemistry"
"AIAA J.","AIAA Journal"
"AIChE J.","AIChE Journal"
"AIP Conf. Proc.","AIP Conference Proceedings"
"Akust. Zh.","Akusticheskii Zhurnal"
"Am. J. Phys.","American Journal of Physics"
"Anal. Chem.","Analytical Chemistry"
"Ann. Phys. (Leipzig)","Annalen der Physik (Leipzig)"
"Ann. Chim. Phys.","Annales de Chimie et de Physique"
"Ann. Geophys.","Annales de Geophysique"
"Ann. Inst. Henri Poincare","Annales de l' Institut Henri Poincare"
"Ann. Inst. Henri Poincare, A","Annales de l' Institut Henri Poincare, Section A: Physique Theorique"
"Ann. Inst. Henri Poincare, B","Annales de l' Institut Henri Poincare, Section B: Calcul des Probabilites et Statistique"
"Ann. Phys. (Paris)","Annales de Physique (Paris)"
"Ann. Fluid Dyn.","Annals of Fluid Dynamics"
"Ann. Math.","Annals of Mathematics"
"Ann. Otol. Rhinol. Laryngol.","Annals of Otology, Rhinology, & Laryngology"
"Ann. Phys. (N. Y.)","Annals of Physics (New York)"
"Annu. Rev. Nucl. Sci.","Annual Review of Nuclear Science"
"Appl. Opt.","Applied Optics"
"Appl. Phys. Lett.","Applied Physics Letters"
"Appl. Spectrosc.","Applied Spectroscopy"
"Ark. Fys.","Arkiv foer Fysik"
"Astron. J.","Astronomical Journal"
"Astron. Zh.","Astronomicheskii Zhurnal"
"Astron. Nachr.","Astronomische Nachrichten"
"Astron. Astrophys.","Astronomy and Astrophysics"
"Astrophys. J.","Astrophysical Journal"
"Astrophys. J. Lett.","Astrophysical Journal, Letters to the Editor"
"Astrophys. J. Suppl. Ser.","Astrophysical Journal, Supplement Series"
"Astrophys. Lett.","Astrophysical Letters"
"At. Data Nucl. Data Tables","Atomic Data and Nuclear Data Tables"
"At. Energ.","Atomnaya Energiya"
"Aust. J. Phys.","Australian Journal of Physics"
"Bell Syst. Tech. J.","Bell System Technical Journal"
"Ber. Bunsenges. Phys. Chem.","Berichte der Bunsengesellschaft für Physikalische Chemie"
"Biogr. Mem. s Fell. R. Soc.","Biographical Memoirs of Fellows of the Royal Society"
"Biol. Lett.","Biology Letters"
"Br. J. Appl. Phys.","British Journal of Applied Physics"
"Bull. Acad. Sci. USSR, Phys. Ser.","Bulletin of the Academy of Sciences of the USSR, Physical Series"
"Bull. Am. Astron. Soc.","Bulletin of the American Astronomical Society"
"Bull. Am. Phys. Soc.","Bulletin of The American Physical Society"
"Bull. Astron. Inst. Neth.","Bulletin of the Astronomical Institutes of the Netherlands"
"Bull. Chem. Soc. Jpn.","Bulletin of the Chemical Society of Ja pa n"
"Bull. Seismol. Soc. Am.","Bulletin of the Seismological Society of America"
"Can. J. Chem.","Canadian Journal of Chemistry"
"Can. J. Phys.","Canadian Journal of Physics"
"Can. J. Res.","Canadian Journal of Research"
"Chem. Phys.","Chemical Physics"
"Chem. Phys. Lett.","Chemical Physics Letters"
"Chem. Rev.","Chemical Reviews"
"Chin. J. Phys.","Chinese Journal of Physics"
"Comments Astrophys. Space Phys.","Comments on Astrophysics and Space Physics"
"Comments At. Mol. Phys.","Comments on Atomic and Molecular Physics"
"Comments Nucl. Part. Phys.","Comments on Nuclear and Particle Physics"
"Comments Plasma Phys. Controlled Fusion","Comments on Plasma Physics and Controlled Fusion"
"Comments Solid State Phys.","Comments on Solid State Physics"
"Commun. Math. Phys.","Communications in Mathematical Physics"
"Commun. Pure Appl. Math.","Communications on Pure and Applied Mathematics"
"C. R. Acad. Sci.","Comptes Rendus Hebdomadaires des Seances de l' Academie des Sciences"
"C. R. Acad. Sci. Ser. A","Comptes Rendus Hebdomadaires des Seances de l' Academie des Sciences, Serie A: Sciences Mathematiques"
"C. R. Acad. Sci. Ser. B","Comptes Rendus Hebdomadaires des Seances de l' Academie des Sciences, Serie B: Sciences Physiques"
"Comput. Phys. Commun.","Computer Physics Communications"
"Cryogenics","Cryogenics"
"Czech. J. Phys.","Czechoslovak Journal of Physics"
"Discuss. Faraday Soc.","Discussions of the Faraday Society"
"Dokl. Akad. Nauk SSSR","Doklady Akademii Nauk SSSR"
"Earth. Planet. Sci. Lett.","Earth and Planetary Science Letters"
"Electron. Lett.","Electronics Letters"
"Experientia","Experientia"
"Fields. Quanta.","Fields and Quanta"
"Fiz. Elem. Chastits At. Yadra","Fizika Elementarnykh Chastits i Atomnogo Yadra"
"Fiz. Tekh. Poluprovodn.","Fizika i Tekhnika Poluprovodnikov"
"Fiz. Met. Metalloved.","Fizika Metallov i Metallovedenie"
"Fiz. Nizk. Temp.","Fizika Nizkikh Temperatur"
"Fiz. Plazmy","Fizika Plazmy"
"Fiz. Tverd. Tela (Leningrad)","Fizika Tverdogo Tela (Leningrad)"
"Fizika (Zagreb)","Fizika (Zagreb)"
"Fortschr. Phys.","Fortschritte der Physik"
"Found. Phys.","Foundations of Physics"
"Gen. Relativ. Gravit.","General Relativity and Gravitation"
"Geochim. Cosmochim. Acta","Geochimica et Cosmochimica Acta"
"Helv. Chim. Acta.","Helvetica Chimica Acta"
"Helv. Phys. Acta","Helvetica Physica Acta"
"High Temp. (USSR)","High Temperature (USSR)(translation of Teplofizika Vysokikh Temperatur)"
"IBM J. Res. Dev.","IBM Journal of Research and Development"
"Icarus","Icarus"
"IEEE J. Quantum Electron.","IEEE Journal of Quantum Electronics"
"IEEE Trans. Antennas Propag.","IEEE Transactions on Antennas and Propagation"
"IEEE Trans. Electron Devices","IEEE Transactions on Electron Devices"
"IEEE Trans. Inf. Theory","IEEE Transactions on Information Theory"
"IEEE Trans. Instrum. Meas.","IEEE Transactions on Instrumentation and Measurement"
"IEEE Trans. Magn.","IEEE Transactions on Magnetics"
"IEEE Trans. Microwave Theory Tech.","IEEE Transactions on Microwave Theory and Techniques"
"IEEE Trans. Nucl. Sci.","IEEE Transactions on Nuclear Science"
"IEEE Trans. Sonics Ultrason.","IEEE Transactions on Sonics and Ultrasonics"
"Ind. Eng. Chem.","Industrial and Engineering Chemistry"
"Infrared Phys.","Infrared Physics"
"Inorg. Chem.","Inorganic Chemistry"
"Inorg. Mater. (USSR)","Inorganic Materials (USSR)(translation of Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy)"
"Instrum. Exp. Tech. (USSR)","Instruments and Experimental Techniques (USSR)(translation of Pribory i Tekhnika Eksperimenta)"
"Int. J. Magn.","International Journal of Magnetism"
"Int. J. Quantum Chem.","International Journal of Quantum Chemistry"
"Int. J. Quantum Chem. 1","International Journal of Quantum Chemistry, Part 1"
"Int. J. Quantum Chem. 2","International Journal of Quantum Chemistry, Part 2"
"Int. J. Theor. Phys.","International Journal of Theoretical Physics"
"Izv. Acad. Sci. USSR, Atmos. Oceanic Phys.","Izvestiya, Academy of Sciences, USSR, Atmospheric and Oceanic Physics (translation of Izvestiya Akademii Nauk SSSR, Fizika Atmosfery i Okeana)"
"Izv. Acad. Sci. USSR, Phys. Solid Earth","Izvestiya, Academy of Sciences, USSR, Physics of the Solid Earth (translation of Izvestiya Akademii Nauk SSSR, Fizika Zemli)"
"Izv. Akad. Nauk SSSR, Fiz. Atmos. Okeana","Izvestiya Akademii Nauk SSSR, Fizika Atmosfery i Okeana"
"Izv. Akad. Nauk SSSR, Fiz. Zemli","Izvestiya Akademii Nauk SSSR, Fizika Zemli"
"Izv. Akad. Nauk SSSR, Neorg. Mater.","Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy"
"Izv. Akad. Nauk SSSR, Ser. Fiz.","Izvestiya Akademii Nauk SSSR, Seriya Fizicheskaya"
"Izv. Vyssh. Uchebn. Zaved. Fiz.","Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika"
"Izv. Vyssh. Uchebn. Zaved. Radiofiz.","Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika"
"Jpn. J. Appl. Phys.","Japanese Journal of Applied Physics"
"Jpn. J. Phys.","Japanese Journal of Physics"
"JETP Lett.","JETP Letters (translation of Pis'ma v Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki)"
"J. Chim. Phys.","Journal de Chimie Physique"
"J. Phys. (Paris)","Journal de Physique (Paris)"
"J. Phys. Radium","Journal de Physique et le Radium"
"J. Appl. Crystallogr.","Journal of Applied Crystallography"
"J. Appl. Phys.","Journal of Applied Physics"
"J. Appl. Spectrosc. (USSR)","Journal of Applied Spectroscopy (USSR)(translation of Zhurnal Prikladnoi Spektroskopii)"
"J. Atmos. Terr. Phys.","Journal of Atmospheric and Terrestrial Physics"
"J. Atmos. Sci.","Journal of Atmospheric Sciences"
"J. Chem. Phys.","Journal of Chemical Physics"
"J. Comput. Phys.","Journal of Computational Physics"
"J. Cryst. Growth","Journal of Crystal Growth"
"J. Fluid Mech.","Journal of Fluid Mechanics"
"J. Geophys. Res.","Journal of Geophysical Research"
"J. High Energy Phys.","Journal of High Energy Physics"
"J. Inorg. Nucl. Chem.","Journal of Inorganic and Nuclear Chemistry"
"J. Low Temp. Phys.","Journal of Low Temperature Physics"
"J. Lumin.","Journal of Luminescence"
"J. Macromol. Sci. Phys.","Journal of Macromolecular Science, Physics"
"J. Math. Phys.","Journal of Mathematical Physics"
"J. Mol. Spectrosc.","Journal of Molecular Spectroscopy"
"J. Non-Cryst. Solids","Journal of Non-Crystalline Solids"
"J. Nucl. Energy","Journal of Nuclear Energy"
"J. Nucl. Energy, Part C","Journal of Nuclear Energy, Part C: Plasma Physics, Accelerators, Thermonuclear Research"
"J. Nucl. Mater.","Journal of Nuclear Materials"
"J. Phys. Chem. Ref. Data","Journal of Physical and Chemical Reference Data"
"J. Phys. Chem.","Journal of Physical Chemistry"
"J. Phys. A","Journal of Physics A: General Physics"
"J. Phys. Chem. Solids","Journal of Physics and Chemistry of Solids"
"J. Phys. B","Journal of Physics B: Atomic and Molecular Physics"
"J. Phys. C","Journal of Physics C: Solid State Physics"
"J. Phys. D","Journal of Physics D: Applied Physics"
"J. Phys. E","Journal of Physics E: Scientific Instruments"
"J. Phys. F","Journal of Physics F: Metal Physics"
"J. Phys. (Moscow)","Journal of Physics (Moscow)"
"J. Plasma Phys.","Journal of Plasma Physics"
"J. Polym. Sci.","Journal of Polymer Science"
"J. Polym. Sci. Polym. Lett. Ed.","Journal of Polymer Science, Polymer Letters Edition"
"J. Polym. Sci. Polym. Phys. Ed.","Journal of Polymer Science, Polymer Physics Edition"
"J. Quant. Spectrosc. Radiat. Transfer","Journal of Quantitative Spectroscopy & Radiative Transfer"
"J. Res. Nat. l Bur. Stand.","Journal of Research of the National Bureau of Standards"
"J. Res. Nat. l Bur. Stand. Sect. A","Journal of Research of the National Bureau of Standards, Section A: Physics and Chemistry"
"J. Res. Nat. l Bur. Stand. Sect. B","Journal of Research of the National Bureau of Standards, Section B: Mathematical Sciences"
"J. Res. Nat. l Bur. Stand. Sect. C","Journal of Research of the National Bureau of Standards, Section C: Engineering and Instrumentation"
"J. Sci. Instrum.","Journal of Scientific Instruments"
"J. Sound Vib.","Journal of Sound and Vibration"
"J. Speech Hear. Disord.","Journal of Speech and Hearing Disorders"
"J. Speech Hear. Res.","Journal of Speech and Hearing Research"
"J. Stat. Phys.","Journal of Statistical Physics"
"J. Acoust. Soc. Am.","Journal of the Acoustical Society of America"
"J. Am. Ceram. Soc.","Journal of the American Ceramic Society"
"J. Am. Chem. Soc.","Journal of the American Chemical Society"
"J. Am. Inst. Electr. Eng.","Journal of the American Institute of Electrical Engineers"
"J. Audio Eng. Soc.","Journal of the Audio Engineering Society"
"J. Chem. Soc.","Journal of the Chemical Society"
"J. Electrochem. Soc.","Journal of the Electrochemical Society"
"J. Mech. Phys. Solids","Journal of the Mechanics and Physics of Solids"
"J. Opt. Soc. Am.","Journal of the Optical Society of America"
